datetime,junction,vehicles,avg_speed_kmph,congestion_level
2024-01-05 10:00:00,4,278,22,High
2024-01-05 11:00:00,4,110,36,Medium
2024-01-05 12:00:00,3,126,36,Medium
2024-01-05 13:00:00,4,114,40,Medium
2024-01-05 14:00:00,3,153,36,Medium
2024-01-05 15:00:00,3,115,26,Medium
2024-01-05 16:00:00,3,104,29,Medium
2024-01-05 17:00:00,2,288,14,High
2024-01-05 18:00:00,1,299,21,High
2024-01-05 19:00:00,1,317,19,High
2024-01-05 20:00:00,4,264,24,High
2024-01-05 21:00:00,1,44,58,Low
2024-01-05 22:00:00,4,32,58,Low
2024-01-05 23:00:00,1,85,43,Low
2024-01-06 00:00:00,4,67,54,Low
2024-01-06 01:00:00,4,69,40,Low
2024-01-06 02:00:00,1,47,57,Low
2024-01-06 03:00:00,1,61,43,Low
2024-01-06 04:00:00,4,47,52,Low
2024-01-06 05:00:00,4,93,41,Low
2024-01-06 06:00:00,3,97,42,Low
2024-01-06 07:00:00,3,290,25,High
2024-01-06 08:00:00,2,323,22,High
2024-01-06 09:00:00,2,200,12,High
2024-01-06 10:00:00,2,227,19,High
2024-01-06 11:00:00,1,151,26,Medium
2024-01-06 12:00:00,3,144,36,Medium
2024-01-06 13:00:00,3,120,26,Medium
2024-01-06 14:00:00,2,200,38,Medium
2024-01-06 15:00:00,4,186,39,Medium
2024-01-06 16:00:00,1,175,26,Medium
2024-01-06 17:00:00,2,236,17,High
2024-01-06 18:00:00,2,254,18,High
2024-01-06 19:00:00,2,208,20,High
2024-01-06 20:00:00,1,257,22,High
2024-01-06 21:00:00,1,98,55,Low
2024-01-06 22:00:00,2,92,58,Low
2024-01-06 23:00:00,4,93,48,Low
2024-01-07 00:00:00,1,26,52,Low
2024-01-07 01:00:00,4,67,47,Low
2024-01-07 02:00:00,1,70,60,Low
2024-01-07 03:00:00,1,25,46,Low
2024-01-07 04:00:00,3,30,43,Low
2024-01-07 05:00:00,4,70,65,Low
2024-01-07 06:00:00,1,34,43,Low
2024-01-07 07:00:00,1,336,19,High
2024-01-07 08:00:00,3,271,17,High
2024-01-07 09:00:00,3,201,21,High
2024-01-07 10:00:00,4,275,15,High
2024-01-07 11:00:00,2,111,38,Medium
2024-01-07 12:00:00,3,160,40,Medium
2024-01-07 13:00:00,4,117,36,Medium
2024-01-07 14:00:00,3,134,34,Medium
2024-01-07 15:00:00,4,108,25,Medium
2024-01-07 16:00:00,4,158,33,Medium
2024-01-07 17:00:00,2,291,11,High
2024-01-07 18:00:00,2,249,13,High
2024-01-07 19:00:00,4,242,17,High
2024-01-07 20:00:00,4,258,14,High
2024-01-07 21:00:00,4,87,54,Low
2024-01-07 22:00:00,1,79,45,Low
2024-01-07 23:00:00,4,37,45,Low
2024-01-08 00:00:00,1,26,41,Low
2024-01-08 01:00:00,3,39,40,Low
2024-01-08 02:00:00,1,26,55,Low
2024-01-08 03:00:00,1,86,48,Low
2024-01-08 04:00:00,2,26,61,Low
2024-01-08 05:00:00,1,88,44,Low
2024-01-08 06:00:00,2,37,54,Low
2024-01-08 07:00:00,1,340,10,High
2024-01-08 08:00:00,4,341,18,High
2024-01-08 09:00:00,4,315,15,High
2024-01-08 10:00:00,3,258,14,High
2024-01-08 11:00:00,4,188,25,Medium
2024-01-08 12:00:00,1,158,39,Medium
2024-01-08 13:00:00,4,101,28,Medium
2024-01-08 14:00:00,4,101,29,Medium
2024-01-08 15:00:00,4,188,37,Medium
2024-01-08 16:00:00,2,128,25,Medium
2024-01-08 17:00:00,3,273,18,High
2024-01-08 18:00:00,2,296,11,High
2024-01-08 19:00:00,2,265,16,High
2024-01-08 20:00:00,2,308,22,High
2024-01-08 21:00:00,3,54,58,Low
2024-01-08 22:00:00,4,91,63,Low
2024-01-08 23:00:00,4,38,54,Low
2024-01-09 00:00:00,3,49,46,Low
2024-01-09 01:00:00,3,22,41,Low
2024-01-09 02:00:00,3,85,54,Low
2024-01-09 03:00:00,1,82,57,Low
2024-01-09 04:00:00,4,66,65,Low
2024-01-09 05:00:00,3,64,59,Low
2024-01-09 06:00:00,1,49,62,Low
2024-01-09 07:00:00,4,284,15,High
2024-01-09 08:00:00,4,229,20,High
2024-01-09 09:00:00,4,200,21,High
2024-01-09 10:00:00,3,340,14,High
2024-01-09 11:00:00,1,120,40,Medium
2024-01-09 12:00:00,4,200,33,Medium
2024-01-09 13:00:00,4,114,39,Medium
2024-01-09 14:00:00,3,198,37,Medium
2024-01-09 15:00:00,3,115,34,Medium
2024-01-09 16:00:00,4,102,32,Medium
2024-01-09 17:00:00,4,205,21,High
2024-01-09 18:00:00,1,260,24,High
2024-01-09 19:00:00,4,244,13,High
2024-01-09 20:00:00,3,308,25,High
2024-01-09 21:00:00,2,51,63,Low
2024-01-09 22:00:00,2,71,65,Low
2024-01-09 23:00:00,1,41,46,Low
2024-01-10 00:00:00,3,92,47,Low
2024-01-10 01:00:00,4,84,57,Low
2024-01-10 02:00:00,3,77,45,Low
2024-01-10 03:00:00,1,32,50,Low
2024-01-10 04:00:00,3,47,59,Low
2024-01-10 05:00:00,2,22,52,Low
2024-01-10 06:00:00,1,70,47,Low
2024-01-10 07:00:00,2,316,20,High
2024-01-10 08:00:00,1,321,10,High
2024-01-10 09:00:00,4,295,10,High
2024-01-10 10:00:00,2,339,13,High
2024-01-10 11:00:00,2,104,28,Medium
2024-01-10 12:00:00,3,146,35,Medium
2024-01-10 13:00:00,4,155,28,Medium
2024-01-10 14:00:00,4,135,27,Medium
2024-01-10 15:00:00,3,164,35,Medium
2024-01-10 16:00:00,3,144,25,Medium
2024-01-10 17:00:00,2,225,20,High
2024-01-10 18:00:00,2,228,23,High
2024-01-10 19:00:00,3,347,16,High
2024-01-10 20:00:00,3,332,12,High
2024-01-10 21:00:00,2,23,65,Low
2024-01-10 22:00:00,2,100,42,Low
2024-01-10 23:00:00,2,88,51,Low
2024-01-11 00:00:00,1,73,45,Low
2024-01-11 01:00:00,1,78,55,Low
2024-01-11 02:00:00,2,27,63,Low
2024-01-11 03:00:00,4,77,48,Low
2024-01-11 04:00:00,4,82,64,Low
2024-01-11 05:00:00,1,61,40,Low
2024-01-11 06:00:00,2,79,64,Low
2024-01-11 07:00:00,2,283,11,High
2024-01-11 08:00:00,1,205,21,High
2024-01-11 09:00:00,1,252,10,High
2024-01-11 10:00:00,1,205,22,High
2024-01-11 11:00:00,3,167,33,Medium
2024-01-11 12:00:00,4,200,38,Medium
2024-01-11 13:00:00,1,111,38,Medium
2024-01-11 14:00:00,3,124,29,Medium
2024-01-11 15:00:00,4,122,32,Medium
2024-01-11 16:00:00,4,169,25,Medium
2024-01-11 17:00:00,2,213,19,High
2024-01-11 18:00:00,4,251,19,High
2024-01-11 19:00:00,1,212,13,High
2024-01-11 20:00:00,3,338,24,High
2024-01-11 21:00:00,2,66,62,Low
2024-01-11 22:00:00,3,93,57,Low
2024-01-11 23:00:00,3,37,63,Low
2024-01-12 00:00:00,3,46,56,Low
2024-01-12 01:00:00,3,73,65,Low
2024-01-12 02:00:00,1,54,46,Low
2024-01-12 03:00:00,4,61,61,Low
2024-01-12 04:00:00,2,39,58,Low
2024-01-12 05:00:00,4,90,58,Low
2024-01-12 06:00:00,3,26,47,Low
2024-01-12 07:00:00,3,292,11,High
2024-01-12 08:00:00,3,291,10,High
2024-01-12 09:00:00,4,229,13,High
2024-01-12 10:00:00,4,220,15,High
2024-01-12 11:00:00,3,123,27,Medium
2024-01-12 12:00:00,2,127,31,Medium
2024-01-12 13:00:00,1,121,25,Medium
2024-01-12 14:00:00,3,199,30,Medium
2024-01-12 15:00:00,2,105,31,Medium
2024-01-12 16:00:00,2,145,25,Medium
2024-01-12 17:00:00,3,204,16,High
2024-01-12 18:00:00,1,292,14,High
2024-01-12 19:00:00,2,345,24,High
2024-01-12 20:00:00,4,234,18,High
2024-01-12 21:00:00,2,56,63,Low
2024-01-12 22:00:00,3,80,58,Low
2024-01-12 23:00:00,1,37,44,Low
2024-01-13 00:00:00,3,75,43,Low
2024-01-13 01:00:00,1,32,50,Low
2024-01-13 02:00:00,1,70,60,Low
2024-01-13 03:00:00,1,71,52,Low
2024-01-13 04:00:00,1,48,43,Low
2024-01-13 05:00:00,2,66,42,Low
2024-01-13 06:00:00,2,49,57,Low
2024-01-13 07:00:00,1,305,19,High
2024-01-13 08:00:00,3,272,11,High
2024-01-13 09:00:00,3,278,14,High
2024-01-13 10:00:00,3,322,20,High
2024-01-13 11:00:00,2,163,27,Medium
2024-01-13 12:00:00,3,162,39,Medium
2024-01-13 13:00:00,2,195,40,Medium
2024-01-13 14:00:00,3,199,37,Medium
2024-01-13 15:00:00,1,153,30,Medium
2024-01-13 16:00:00,4,171,27,Medium
2024-01-13 17:00:00,3,238,18,High
2024-01-13 18:00:00,4,291,20,High
2024-01-13 19:00:00,4,305,20,High
2024-01-13 20:00:00,4,206,14,High
2024-01-13 21:00:00,3,74,45,Low
2024-01-13 22:00:00,3,26,50,Low
2024-01-13 23:00:00,3,99,57,Low
2024-01-14 00:00:00,3,99,42,Low
2024-01-14 01:00:00,2,60,46,Low
2024-01-14 02:00:00,4,28,61,Low
2024-01-14 03:00:00,1,35,50,Low
2024-01-14 04:00:00,2,59,61,Low
2024-01-14 05:00:00,2,29,45,Low
2024-01-14 06:00:00,3,40,57,Low
2024-01-14 07:00:00,3,257,14,High
2024-01-14 08:00:00,4,242,11,High
2024-01-14 09:00:00,4,235,12,High
2024-01-14 10:00:00,2,248,17,High
2024-01-14 11:00:00,4,183,27,Medium
2024-01-14 12:00:00,3,172,29,Medium
2024-01-14 13:00:00,1,184,27,Medium
2024-01-14 14:00:00,3,107,39,Medium
2024-01-14 15:00:00,2,173,40,Medium
2024-01-14 16:00:00,2,116,28,Medium
2024-01-14 17:00:00,2,314,12,High
2024-01-14 18:00:00,1,270,13,High
2024-01-14 19:00:00,1,297,21,High
2024-01-14 20:00:00,4,263,25,High
2024-01-14 21:00:00,4,49,59,Low
2024-01-14 22:00:00,1,60,47,Low
2024-01-14 23:00:00,4,78,43,Low
2024-01-15 00:00:00,4,73,49,Low
2024-01-15 01:00:00,2,90,64,Low
2024-01-15 02:00:00,2,98,61,Low
2024-01-15 03:00:00,1,64,62,Low
2024-01-15 04:00:00,3,62,50,Low
2024-01-15 05:00:00,2,33,41,Low
2024-01-15 06:00:00,3,73,54,Low
2024-01-15 07:00:00,1,335,24,High
2024-01-15 08:00:00,4,267,18,High
2024-01-15 09:00:00,1,320,21,High
2024-01-15 10:00:00,4,231,17,High
2024-01-15 11:00:00,4,158,33,Medium
2024-01-15 12:00:00,1,135,33,Medium
2024-01-15 13:00:00,3,167,32,Medium
2024-01-15 14:00:00,3,104,37,Medium
2024-01-15 15:00:00,3,200,33,Medium
2024-01-15 16:00:00,2,197,25,Medium
2024-01-15 17:00:00,4,286,25,High
2024-01-15 18:00:00,1,283,20,High
2024-01-15 19:00:00,3,279,13,High
2024-01-15 20:00:00,2,275,21,High
2024-01-15 21:00:00,1,85,53,Low
2024-01-15 22:00:00,1,57,65,Low
2024-01-15 23:00:00,3,86,63,Low
2024-01-16 00:00:00,3,33,40,Low
2024-01-16 01:00:00,2,60,59,Low
2024-01-16 02:00:00,3,61,50,Low
2024-01-16 03:00:00,2,57,44,Low
2024-01-16 04:00:00,3,29,43,Low
2024-01-16 05:00:00,4,42,53,Low
2024-01-16 06:00:00,1,50,57,Low
2024-01-16 07:00:00,2,233,12,High
2024-01-16 08:00:00,3,303,16,High
2024-01-16 09:00:00,1,337,20,High
2024-01-16 10:00:00,2,237,21,High
2024-01-16 11:00:00,1,114,38,Medium
2024-01-16 12:00:00,3,111,37,Medium
2024-01-16 13:00:00,4,160,35,Medium
2024-01-16 14:00:00,2,123,27,Medium
2024-01-16 15:00:00,3,135,26,Medium
2024-01-16 16:00:00,3,121,39,Medium
2024-01-16 17:00:00,4,301,11,High
2024-01-16 18:00:00,4,218,23,High
2024-01-16 19:00:00,1,344,14,High
2024-01-16 20:00:00,1,331,13,High
2024-01-16 21:00:00,4,63,57,Low
2024-01-16 22:00:00,4,51,60,Low
2024-01-16 23:00:00,1,83,58,Low
2024-01-17 00:00:00,2,53,58,Low
2024-01-17 01:00:00,2,89,54,Low
2024-01-17 02:00:00,2,90,41,Low
2024-01-17 03:00:00,3,81,44,Low
2024-01-17 04:00:00,1,34,48,Low
2024-01-17 05:00:00,1,55,54,Low
2024-01-17 06:00:00,4,59,58,Low
2024-01-17 07:00:00,1,297,18,High
2024-01-17 08:00:00,4,236,18,High
2024-01-17 09:00:00,4,235,15,High
2024-01-17 10:00:00,4,290,10,High
2024-01-17 11:00:00,2,154,29,Medium
2024-01-17 12:00:00,2,200,39,Medium
2024-01-17 13:00:00,1,150,26,Medium
2024-01-17 14:00:00,1,186,40,Medium
2024-01-17 15:00:00,3,103,39,Medium
2024-01-17 16:00:00,2,196,40,Medium
2024-01-17 17:00:00,4,296,11,High
2024-01-17 18:00:00,2,291,18,High
2024-01-17 19:00:00,1,216,25,High
2024-01-17 20:00:00,3,291,18,High
2024-01-17 21:00:00,1,25,63,Low
2024-01-17 22:00:00,3,39,42,Low
2024-01-17 23:00:00,4,74,41,Low
2024-01-18 00:00:00,1,64,65,Low
2024-01-18 01:00:00,3,21,42,Low
2024-01-18 02:00:00,3,28,43,Low
2024-01-18 03:00:00,3,67,40,Low
2024-01-18 04:00:00,3,94,45,Low
2024-01-18 05:00:00,1,78,54,Low
2024-01-18 06:00:00,2,64,50,Low
2024-01-18 07:00:00,2,220,16,High
2024-01-18 08:00:00,2,303,16,High
2024-01-18 09:00:00,2,287,20,High
2024-01-18 10:00:00,1,239,11,High
2024-01-18 11:00:00,1,101,38,Medium
2024-01-18 12:00:00,3,171,33,Medium
2024-01-18 13:00:00,4,106,40,Medium
2024-01-18 14:00:00,2,144,31,Medium
2024-01-18 15:00:00,2,103,29,Medium
2024-01-18 16:00:00,1,158,35,Medium
2024-01-18 17:00:00,1,304,16,High
2024-01-18 18:00:00,4,208,25,High
2024-01-18 19:00:00,4,262,13,High
2024-01-18 20:00:00,4,285,11,High
2024-01-18 21:00:00,1,87,61,Low
2024-01-18 22:00:00,3,60,64,Low
2024-01-18 23:00:00,4,48,56,Low
2024-01-19 00:00:00,3,61,46,Low
2024-01-19 01:00:00,4,63,47,Low
2024-01-19 02:00:00,3,21,61,Low
2024-01-19 03:00:00,3,35,47,Low
2024-01-19 04:00:00,1,36,47,Low
2024-01-19 05:00:00,1,57,60,Low
2024-01-19 06:00:00,1,93,41,Low
2024-01-19 07:00:00,2,322,22,High
2024-01-19 08:00:00,3,224,14,High
2024-01-19 09:00:00,3,215,17,High
2024-01-19 10:00:00,1,278,16,High
2024-01-19 11:00:00,3,124,28,Medium
2024-01-19 12:00:00,1,169,38,Medium
2024-01-19 13:00:00,2,129,32,Medium
2024-01-19 14:00:00,3,120,32,Medium
2024-01-19 15:00:00,2,171,30,Medium
2024-01-19 16:00:00,4,136,31,Medium
2024-01-19 17:00:00,1,235,15,High
2024-01-19 18:00:00,4,310,17,High
2024-01-19 19:00:00,1,248,24,High
2024-01-19 20:00:00,2,304,12,High
2024-01-19 21:00:00,1,48,58,Low
2024-01-19 22:00:00,2,56,64,Low
2024-01-19 23:00:00,4,49,40,Low
2024-01-20 00:00:00,1,53,64,Low
2024-01-20 01:00:00,3,91,43,Low
2024-01-20 02:00:00,4,64,47,Low
2024-01-20 03:00:00,2,78,63,Low
2024-01-20 04:00:00,2,85,57,Low
2024-01-20 05:00:00,4,92,46,Low
2024-01-20 06:00:00,4,43,58,Low
2024-01-20 07:00:00,4,279,18,High
2024-01-20 08:00:00,2,294,12,High
2024-01-20 09:00:00,4,257,12,High
2024-01-20 10:00:00,3,222,25,High
2024-01-20 11:00:00,2,127,35,Medium
2024-01-20 12:00:00,2,199,27,Medium
2024-01-20 13:00:00,4,196,34,Medium
2024-01-20 14:00:00,1,104,39,Medium
2024-01-20 15:00:00,4,116,34,Medium
2024-01-20 16:00:00,4,158,30,Medium
2024-01-20 17:00:00,3,260,23,High
2024-01-20 18:00:00,2,279,20,High
2024-01-20 19:00:00,4,241,14,High
2024-01-20 20:00:00,4,201,23,High
2024-01-20 21:00:00,2,67,65,Low
2024-01-20 22:00:00,3,48,41,Low
2024-01-20 23:00:00,2,58,62,Low
2024-01-21 00:00:00,1,56,44,Low
2024-01-21 01:00:00,4,24,42,Low
2024-01-21 02:00:00,2,62,59,Low
2024-01-21 03:00:00,2,75,41,Low
2024-01-21 04:00:00,4,85,45,Low
2024-01-21 05:00:00,4,68,52,Low
2024-01-21 06:00:00,3,45,40,Low
2024-01-21 07:00:00,1,330,25,High
2024-01-21 08:00:00,2,250,15,High
2024-01-21 09:00:00,4,337,11,High
2024-01-21 10:00:00,4,225,21,High
2024-01-21 11:00:00,4,137,30,Medium
2024-01-21 12:00:00,3,195,34,Medium
2024-01-21 13:00:00,2,114,32,Medium
2024-01-21 14:00:00,4,131,33,Medium
2024-01-21 15:00:00,4,129,32,Medium
2024-01-21 16:00:00,3,143,25,Medium
2024-01-21 17:00:00,4,286,12,High
2024-01-21 18:00:00,1,220,21,High
2024-01-21 19:00:00,1,346,13,High
2024-01-21 20:00:00,1,325,23,High
2024-01-21 21:00:00,3,78,65,Low
2024-01-21 22:00:00,1,47,55,Low
2024-01-21 23:00:00,4,61,43,Low
2024-01-22 00:00:00,1,23,47,Low
2024-01-22 01:00:00,4,60,54,Low
2024-01-22 02:00:00,3,76,49,Low
2024-01-22 03:00:00,1,53,64,Low
2024-01-22 04:00:00,2,73,48,Low
2024-01-22 05:00:00,4,91,48,Low
2024-01-22 06:00:00,2,76,46,Low
2024-01-22 07:00:00,3,341,14,High
2024-01-22 08:00:00,1,315,14,High
2024-01-22 09:00:00,1,248,18,High
2024-01-22 10:00:00,4,230,12,High
2024-01-22 11:00:00,1,117,31,Medium
2024-01-22 12:00:00,3,169,36,Medium
2024-01-22 13:00:00,2,187,38,Medium
2024-01-22 14:00:00,3,167,28,Medium
2024-01-22 15:00:00,1,102,29,Medium
2024-01-22 16:00:00,3,113,35,Medium
2024-01-22 17:00:00,2,245,12,High
2024-01-22 18:00:00,2,312,18,High
2024-01-22 19:00:00,3,284,20,High
2024-01-22 20:00:00,4,287,25,High
2024-01-22 21:00:00,3,78,45,Low
2024-01-22 22:00:00,1,47,51,Low
2024-01-22 23:00:00,1,29,42,Low
2024-01-23 00:00:00,4,99,58,Low
2024-01-23 01:00:00,4,86,60,Low
2024-01-23 02:00:00,2,70,51,Low
2024-01-23 03:00:00,2,80,40,Low
2024-01-23 04:00:00,2,62,52,Low
2024-01-23 05:00:00,2,100,59,Low
2024-01-23 06:00:00,1,81,59,Low
2024-01-23 07:00:00,1,260,22,High
2024-01-23 08:00:00,1,260,22,High
2024-01-23 09:00:00,2,250,17,High
2024-01-23 10:00:00,2,217,20,High
2024-01-23 11:00:00,2,142,25,Medium
2024-01-23 12:00:00,3,158,38,Medium
2024-01-23 13:00:00,2,179,26,Medium
2024-01-23 14:00:00,2,147,32,Medium
2024-01-23 15:00:00,2,168,26,Medium
2024-01-23 16:00:00,1,180,37,Medium
2024-01-23 17:00:00,1,267,21,High
2024-01-23 18:00:00,4,269,10,High
2024-01-23 19:00:00,4,218,21,High
2024-01-23 20:00:00,2,234,22,High
2024-01-23 21:00:00,3,47,49,Low
2024-01-23 22:00:00,2,55,40,Low
2024-01-23 23:00:00,2,50,51,Low
2024-01-24 00:00:00,1,85,41,Low
2024-01-24 01:00:00,4,100,54,Low
2024-01-24 02:00:00,3,55,43,Low
2024-01-24 03:00:00,3,99,48,Low
2024-01-24 04:00:00,1,75,57,Low
2024-01-24 05:00:00,3,56,65,Low
2024-01-24 06:00:00,2,74,42,Low
2024-01-24 07:00:00,3,236,17,High
2024-01-24 08:00:00,4,202,19,High
2024-01-24 09:00:00,3,235,19,High
2024-01-24 10:00:00,4,340,21,High
2024-01-24 11:00:00,3,171,38,Medium
2024-01-24 12:00:00,4,107,39,Medium
2024-01-24 13:00:00,3,185,26,Medium
2024-01-24 14:00:00,4,150,26,Medium
2024-01-24 15:00:00,2,163,33,Medium
2024-01-24 16:00:00,3,126,26,Medium
2024-01-24 17:00:00,2,293,16,High
2024-01-24 18:00:00,1,244,19,High
2024-01-24 19:00:00,2,226,14,High
2024-01-24 20:00:00,4,274,23,High
2024-01-24 21:00:00,4,86,64,Low
2024-01-24 22:00:00,3,79,64,Low
2024-01-24 23:00:00,4,95,41,Low
2024-01-25 00:00:00,4,80,54,Low
2024-01-25 01:00:00,3,74,55,Low
2024-01-25 02:00:00,2,93,55,Low
2024-01-25 03:00:00,4,29,41,Low
2024-01-25 04:00:00,1,55,53,Low
2024-01-25 05:00:00,2,45,45,Low
2024-01-25 06:00:00,1,77,43,Low
2024-01-25 07:00:00,1,302,18,High
2024-01-25 08:00:00,3,211,19,High
2024-01-25 09:00:00,1,281,19,High
2024-01-25 10:00:00,4,308,12,High
2024-01-25 11:00:00,1,171,39,Medium
2024-01-25 12:00:00,4,179,25,Medium
2024-01-25 13:00:00,3,163,40,Medium
2024-01-25 14:00:00,2,163,34,Medium
2024-01-25 15:00:00,2,137,39,Medium
2024-01-25 16:00:00,4,156,35,Medium
2024-01-25 17:00:00,2,243,11,High
2024-01-25 18:00:00,2,330,20,High
2024-01-25 19:00:00,4,337,17,High
2024-01-25 20:00:00,4,202,18,High
2024-01-25 21:00:00,2,23,48,Low
2024-01-25 22:00:00,4,62,47,Low
2024-01-25 23:00:00,4,59,55,Low
2024-01-26 00:00:00,1,79,63,Low
2024-01-26 01:00:00,1,84,46,Low
2024-01-26 02:00:00,1,47,64,Low
2024-01-26 03:00:00,3,66,64,Low
2024-01-26 04:00:00,1,27,58,Low
2024-01-26 05:00:00,1,26,63,Low
2024-01-26 06:00:00,3,76,59,Low
2024-01-26 07:00:00,4,280,18,High
2024-01-26 08:00:00,2,279,16,High
2024-01-26 09:00:00,3,254,20,High
2024-01-26 10:00:00,1,291,12,High
2024-01-26 11:00:00,1,121,35,Medium
2024-01-26 12:00:00,3,110,38,Medium
2024-01-26 13:00:00,1,179,30,Medium
2024-01-26 14:00:00,3,187,36,Medium
2024-01-26 15:00:00,1,175,31,Medium
2024-01-26 16:00:00,3,107,26,Medium
2024-01-26 17:00:00,3,253,18,High
2024-01-26 18:00:00,3,326,17,High
2024-01-26 19:00:00,4,223,20,High
2024-01-26 20:00:00,2,338,15,High
2024-01-26 21:00:00,3,26,49,Low
2024-01-26 22:00:00,3,96,42,Low
2024-01-26 23:00:00,2,92,51,Low
2024-01-27 00:00:00,4,93,65,Low
2024-01-27 01:00:00,3,96,54,Low
2024-01-27 02:00:00,2,64,53,Low
2024-01-27 03:00:00,3,41,47,Low
2024-01-27 04:00:00,3,30,44,Low
2024-01-27 05:00:00,4,65,57,Low
2024-01-27 06:00:00,4,42,54,Low
2024-01-27 07:00:00,1,294,10,High
2024-01-27 08:00:00,4,244,24,High
2024-01-27 09:00:00,2,341,19,High
2024-01-27 10:00:00,4,327,12,High
2024-01-27 11:00:00,1,134,32,Medium
